"State_ANSI","State","Cheese_April_2023"
1,ALABAMA,
2,ALASKA,
4,ARIZONA,
5,ARKANSAS,
6,CALIFORNIA,"208807000"
8,COLORADO,
9,CONNECTICUT,
10,DELAWARE,
12,FLORIDA,
13,GEORGIA,
15,HAWAII,
16,IDAHO,"86452000"
17,ILLINOIS,"5068000"
18,INDIANA,
19,IOWA,"31512000"
20,KANSAS,
21,KENTUCKY,
22,LOUISIANA,
23,MAINE,
24,MARYLAND,
25,MASSACHUSETTS,
26,MICHIGAN,
27,MINNESOTA,"69728000"
28,MISSISSIPPI,
29,MISSOURI,
30,MONTANA,
31,NEBRASKA,
32,NEVADA,
33,NEW HAMPSHIRE,
34,NEW JERSEY,"4889000"
35,NEW MEXICO,"79038000"
36,NEW YORK,"66256000"
37,NORTH CAROLINA,
38,NORTH DAKOTA,
39,OHIO,"20510000"
40,OKLAHOMA,
41,OREGON,
42,PENNSYLVANIA,"39420000"
44,RHODE ISLAND,
45,SOUTH CAROLINA,
46,SOUTH DAKOTA,"43253000"
47,TENNESSEE,
48,TEXAS,
49,UTAH,
50,VERMONT,"11279000"
51,VIRGINIA,
53,WASHINGTON,
54,WEST VIRGINIA,
55,WISCONSIN,"289699000"
56,WYOMING,
